source_portal,source_url,slug,product_id,name,brand,price_eur,score,power,control,comfort,spin,forgiveness,maneuverability,low_speed
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22529-adidas-metalbone-2026-galan-racket.html,22529-adidas-metalbone-2026-galan-racket,22529,Adidas Metalbone 2026 Galán Racket,Adidas,329.8,70.4,87,57,72,68,71,56,82
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22530-adidas-metalbone-hrd-2026-galan-racket.html,22530-adidas-metalbone-hrd-2026-galan-racket,22530,Adidas Metalbone HRD+ 2026 Galán Racket,Adidas,329.8,68.1,92,56,64,68,64,52,81
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/23107-head-coello-motion-2026-padel-racket.html,23107-head-coello-motion-2026-padel-racket,23107,Head Coello Motion 2026 Padel Racket,Head,288.8,71.7,79,60,76,78,68,61,80
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/23110-head-coello-pro-2026-padel-racket.html,23110-head-coello-pro-2026-padel-racket,23110,Head Coello Pro 2026 Padel Racket,Head,288.8,71.6,92,57,73,78,67,47,87
extreme-tennis,https://www.extreme-tennis.eu/wilson-padel-rackets/23099-wilson-endure-ls-v1-racket.html,23099-wilson-endure-ls-v1-racket,23099,Wilson Endure LS V1 racket,Wilson,174.8,79.7,54,78,92,75,95,86,78
extreme-tennis,https://www.extreme-tennis.eu/wilson-padel-rackets/23096-wilson-endure-v1-racket.html,23096-wilson-endure-v1-racket,23096,Wilson Endure V1 racket,Wilson,209.8,77.7,65,89,75,75,86,85,69
extreme-tennis,https://www.extreme-tennis.eu/wilson-padel-rackets/23097-wilson-endure-pro-v1-racket.html,23097-wilson-endure-pro-v1-racket,23097,Wilson Endure Pro V1 racket,Wilson,254.8,76.7,66,89,73,75,80,84,70
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22046-bullpadel-vertex-05-26-racket.html,22046-bullpadel-vertex-05-26-racket,22046,Bullpadel Vertex 05 26 racket,Bullpadel,304.8,72.6,83,76,62,88,65,62,72
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/23305-bullpadel-vertex-05-geo-premier-padel-26-racket.html,23305-bullpadel-vertex-05-geo-premier-padel-26-racket,23305,Bullpadel Vertex 05 Geo Premier Padel 26 Racket,Bullpadel,341.8,73.0,78,78,63,88,67,68,69
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22059-bullpadel-vertex-05-geo-26-racket.html,22059-bullpadel-vertex-05-geo-26-racket,22059,Bullpadel Vertex 05 Geo 26 racket,Bullpadel,304.8,73.0,78,78,63,88,67,68,69
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22050-bullpadel-neuron-02-26-racket.html,22050-bullpadel-neuron-02-26-racket,22050,Bullpadel Neuron 02 26 racket,Bullpadel,279.8,73.0,75,87,65,67,73,78,66
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/23334-bullpadel-neuron-02-premier-padel-26-padel-racket.html,23334-bullpadel-neuron-02-premier-padel-26-padel-racket,23334,Bullpadel Neuron 02 Premier Padel 26 Padel Racket,Bullpadel,339.8,73.0,75,87,64,67,73,79,66
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22060-bullpadel-neuron-02-edge-26-racket.html,22060-bullpadel-neuron-02-edge-26-racket,22060,Bullpadel Neuron 02 Edge 26 racket,Bullpadel,287.85,70.3,78,79,62,68,67,69,69
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22439-oxdog-ultimate-pro-2026-racket.html,22439-oxdog-ultimate-pro-2026-racket,22439,Oxdog Ultimate Pro 2026 Racket,Oxdog,329.9,69.9,88,83,53,78,62,64,61
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22441-oxdog-pure-pro-2026-racket.html,22441-oxdog-pure-pro-2026-racket,22441,Oxdog Pure Pro+ 2026 Racket,Oxdog,299.9,74.1,75,92,60,85,69,82,56
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22449-oxdog-hyper-pro-20-2026-racket.html,22449-oxdog-hyper-pro-20-2026-racket,22449,Oxdog Hyper Pro 2.0 2026 Racket,Oxdog,309.9,75.6,83,86,67,87,68,71,67
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22450-oxdog-hyper-pro-plus-20-2026-racket.html,22450-oxdog-hyper-pro-plus-20-2026-racket,22450,Oxdog Hyper Pro+ 2.0 2026 Racket,Oxdog,319.9,75.3,79,91,67,87,65,76,62
extreme-tennis,https://www.extreme-tennis.eu/nox-padel-rackets/22224-nox-ea10-ventus-attack-12k-xtreme-2026-racket.html,22224-nox-ea10-ventus-attack-12k-xtreme-2026-racket,22224,Nox EA10 Ventus Attack 12K Xtreme 2026 racket,Nox,263.8,75.6,81,81,67,98,66,67,69
extreme-tennis,https://www.extreme-tennis.eu/tecnifibre-padel-rackets/23234-tecnifibre-bomba-max-padel-racket.html,23234-tecnifibre-bomba-max-padel-racket,23234,Tecnifibre Bomba Max Padel Racket,Tecnifibre,269.9,73.1,91,72,64,88,67,58,72
extreme-tennis,https://www.extreme-tennis.eu/tecnifibre-padel-rackets/23231-tecnifibre-bomba-speed-padel-racket.html,23231-tecnifibre-bomba-speed-padel-racket,23231,Tecnifibre Bomba Speed Padel Racket,Tecnifibre,239.9,73.1,82,83,63,88,65,68,63
extreme-tennis,https://www.extreme-tennis.eu/tecnifibre-padel-rackets/23230-tecnifibre-bomba-soft-padel-racket.html,23230-tecnifibre-bomba-soft-padel-racket,23230,Tecnifibre Bomba Soft Padel Racket,Tecnifibre,199.9,76.6,74,61,88,88,79,59,87
extreme-tennis,https://www.extreme-tennis.eu/tecnifibre-padel-rackets/23229-tecnifibre-bomba-lite-padel-racket.html,23229-tecnifibre-bomba-lite-padel-racket,23229,Tecnifibre Bomba Lite Padel Racket,Tecnifibre,169.9,74.9,69,62,86,88,77,69,73
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/23101-head-coello-vibe-2026-padel-racket.html,23101-head-coello-vibe-2026-padel-racket,23101,Head Coello Vibe 2026 Padel Racket,Head,115.8,71.7,78,53,91,52,82,57,89
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/23147-head-coello-team-2026-padel-racket.html,23147-head-coello-team-2026-padel-racket,23147,Head Coello Team 2026 Padel Racket,Head,181.8,70.7,71,63,85,53,77,63,83
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22411-head-radical-pro-2026-racket.html,22411-head-radical-pro-2026-racket,22411,Head Radical Pro 2026 Racket,Head,197.8,68.6,87,80,58,52,69,64,70
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22412-head-radical-motion-2026-racket.html,22412-head-radical-motion-2026-racket,22412,Head Radical Motion 2026 Racket,Head,159.8,70.3,76,88,67,52,69,78,62
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22413-head-radical-team-2026-racket.html,22413-head-radical-team-2026-racket,22413,Head Radical Team 2026 Racket,Head,148.8,73.6,64,79,85,52,81,77,77
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22414-head-radical-team-light-2026-racket.html,22414-head-radical-team-light-2026-racket,22414,Head Radical Team Light 2026 Racket,Head,123.8,72.9,57,56,99,50,91,73,84
extreme-tennis,https://www.extreme-tennis.eu/siux-padel-rackets/22417-siux-diablo-pro-2026-blue-racket.html,22417-siux-diablo-pro-2026-blue-racket,22417,Siux Diablo Pro 2026 Blue Racket,Siux,314.84,76.0,83,70,71,97,70,62,79
extreme-tennis,https://www.extreme-tennis.eu/siux-padel-rackets/22418-siux-diablo-pro-2026-black-navy-racket.html,22418-siux-diablo-pro-2026-black-navy-racket,22418,Siux Diablo Pro 2026 Black / Navy Racket,Siux,314.84,76.0,83,70,71,97,70,62,79
extreme-tennis,https://www.extreme-tennis.eu/siux-padel-rackets/22595-siux-electra-pro-stupa-2026-red-racket.html,22595-siux-electra-pro-stupa-2026-red-racket,22595,Siux Electra Pro Stupa 2026 Red Racket,Siux,314.84,73.3,87,69,66,87,65,61,78
extreme-tennis,https://www.extreme-tennis.eu/siux-padel-rackets/22596-siux-electra-pro-stupa-2026-black-racket.html,22596-siux-electra-pro-stupa-2026-black-racket,22596,Siux Electra Pro Stupa 2026 Black Racket,Siux,314.84,73.3,87,69,66,87,65,61,78
extreme-tennis,https://www.extreme-tennis.eu/siux-padel-rackets/22599-siux-fenix-pro-augsburger-2026-purple-racket.html,22599-siux-fenix-pro-augsburger-2026-purple-racket,22599,Siux Fenix ​​Pro Augsburger 2026 Purple Racket,Siux,319.8,69.1,94,71,59,78,57,54,71
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22362-bullpadel-vertex-04-comfort-2025-pack.html,22362-bullpadel-vertex-04-comfort-2025-pack,22362,Bullpadel Vertex 04 Comfort 2025 Pack,Bullpadel,180.0,75.7,75,72,80,88,69,64,82
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22415-head-extreme-one-2026-racket.html,22415-head-extreme-one-2026-racket,22415,Head Extreme One 2026 Racket,Head,229.86,65.6,84,68,60,68,58,65,56
extreme-tennis,https://www.extreme-tennis.eu/head-padel-rackets/22416-head-extreme-one-x-2026-racket.html,22416-head-extreme-one-x-2026-racket,22416,Head Extreme One X 2026 Racket,Head,239.86,66.9,96,71,55,68,58,55,65
extreme-tennis,https://www.extreme-tennis.eu/nox-padel-rackets/22229-nox-at10-genius-12k-alum-xtreme-2026-racket.html,22229-nox-at10-genius-12k-alum-xtreme-2026-racket,22229,Nox AT10 Genius 12K Alum Xtreme 2026 racket,Nox,294.8,75.1,84,72,68,97,65,65,75
extreme-tennis,https://www.extreme-tennis.eu/nox-padel-rackets/22228-nox-at10-genius-18k-alum-2026-racket.html,22228-nox-at10-genius-18k-alum-2026-racket,22228,Nox AT10 Genius 18K Alum 2026 racket,Nox,258.17,77.1,80,72,70,97,74,69,78
extreme-tennis,https://www.extreme-tennis.eu/nox-padel-rackets/22230-nox-at10-genius-12k-alum-xtreme-lite-2026-racket.html,22230-nox-at10-genius-12k-alum-xtreme-lite-2026-racket,22230,Nox AT10 Genius 12K Alum Xtreme Lite 2026 racket,Nox,263.8,78.6,67,81,79,97,74,82,70
extreme-tennis,https://www.extreme-tennis.eu/nox-padel-rackets/22226-nox-at10-genius-attack-12k-alum-xtreme-2026-racket.html,22226-nox-at10-genius-attack-12k-alum-xtreme-2026-racket,22226,Nox AT10 Genius Attack 12K Alum Xtreme 2026 racket,Nox,279.8,72.3,88,65,66,98,59,57,73
extreme-tennis,https://www.extreme-tennis.eu/nox-padel-rackets/22227-nox-at10-genius-attack-18k-alum-xtreme-2026-racket.html,22227-nox-at10-genius-attack-18k-alum-xtreme-2026-racket,22227,Nox AT10 Genius Attack 18K Alum Xtreme 2026 racket,Nox,271.9,74.6,80,80,64,98,64,68,68
extreme-tennis,https://www.extreme-tennis.eu/black-crown-padel-rackets/22783-black-crown-patron-kore-racket.html,22783-black-crown-patron-kore-racket,22783,Black Crown Patron Kore racket,Black Crown,233.9,76.9,72,89,76,87,69,78,67
extreme-tennis,https://www.extreme-tennis.eu/black-crown-padel-rackets/22782-black-crown-piton-white-racket.html,22782-black-crown-piton-white-racket,22782,Black Crown Piton White racket,Black Crown,159.8,75.9,62,89,78,65,84,89,64
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22053-bullpadel-hack-04-26-racket.html,22053-bullpadel-hack-04-26-racket,22053,Bullpadel Hack 04 26 racket,Bullpadel,287.85,70.4,78,81,62,68,66,73,65
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22054-bullpadel-hack-04-hybrid-26-racket.html,22054-bullpadel-hack-04-hybrid-26-racket,22054,Bullpadel Hack 04 Hybrid 26 racket,Bullpadel,287.85,75.4,64,84,75,65,83,84,73
extreme-tennis,https://www.extreme-tennis.eu/black-crown-padel-rackets/23639-black-crown-iconic-crown-padel-racket.html,23639-black-crown-iconic-crown-padel-racket,23639,Black Crown Iconic Crown Padel Racket,Black Crown,215.9,77.1,72,82,76,87,73,76,74
extreme-tennis,https://www.extreme-tennis.eu/black-crown-padel-rackets/23638-black-crown-iconic-padel-racket.html,23638-black-crown-iconic-padel-racket,23638,Black Crown Iconic Padel Racket,Black Crown,215.9,76.7,73,87,71,87,72,81,66
extreme-tennis,https://www.extreme-tennis.eu/black-crown-padel-rackets/22784-black-crown-special-max-racket.html,22784-black-crown-special-max-racket,22784,Black Crown Special Max racket,Black Crown,287.9,76.3,76,89,70,87,70,76,66
extreme-tennis,https://www.extreme-tennis.eu/black-crown-padel-rackets/22785-black-crown-special-elite-racket.html,22785-black-crown-special-elite-racket,22785,Black Crown Special Elite racket,Black Crown,251.9,77.0,70,84,77,87,74,80,67
extreme-tennis,https://www.extreme-tennis.eu/black-crown-padel-rackets/22767-black-crown-piton-14-racket.html,22767-black-crown-piton-14-racket,22767,Black Crown Piton 14 racket,Black Crown,172.42,78.1,67,93,74,85,77,83,68
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22719-bullpadel-neuron-02-cloud-26-racket.html,22719-bullpadel-neuron-02-cloud-26-racket,22719,Bullpadel Neuron 02 Cloud 26 racket,Bullpadel,239.86,77.9,62,83,88,67,88,81,76
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22438-oxdog-ultimate-pro-smash-2026-racket.html,22438-oxdog-ultimate-pro-smash-2026-racket,22438,Oxdog Ultimate Pro Smash 2026 Racket,Oxdog,329.9,73.6,87,85,55,98,62,67,61
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22440-oxdog-ultimate-pro-2026-racket.html,22440-oxdog-ultimate-pro-2026-racket,22440,Oxdog Ultimate Pro+ 2026 Racket,Oxdog,339.9,71.7,89,78,52,98,59,61,65
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22442-oxdog-pure-court-2026-racket.html,22442-oxdog-pure-court-2026-racket,22442,Oxdog Pure Court 2026 Racket,Oxdog,149.9,77.7,72,80,75,85,84,71,77
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22443-oxdog-ultimate-pro-smash-2026-racket.html,22443-oxdog-ultimate-pro-smash-2026-racket,22443,Oxdog Ultimate Pro Smash 2026 Racket,Oxdog,179.9,68.4,63,65,66,78,70,90,47
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22445-oxdog-pure-tour-x-2026-racket.html,22445-oxdog-pure-tour-x-2026-racket,22445,Oxdog Pure Tour X 2026 Racket,Oxdog,249.9,71.6,74,92,67,50,77,81,60
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22446-oxdog-ultimate-tour-x-2026-racket.html,22446-oxdog-ultimate-tour-x-2026-racket,22446,Oxdog Ultimate Tour X 2026 Racket,Oxdog,259.9,76.7,76,88,67,98,70,75,63
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22447-oxdog-ultimate-pro-light-2026-racket.html,22447-oxdog-ultimate-pro-light-2026-racket,22447,Oxdog Ultimate Pro Light 2026 Racket,Oxdog,319.9,73.1,78,79,65,98,60,72,60
extreme-tennis,https://www.extreme-tennis.eu/oxdog-padel-rackets/22448-oxdog-hyper-tour-x-20-2026-racket.html,22448-oxdog-hyper-tour-x-20-2026-racket,22448,Oxdog Hyper Tour X 2.0 2026 Racket,Oxdog,249.9,71.7,72,88,74,52,73,82,61
extreme-tennis,https://www.extreme-tennis.eu/pro-kennex-padel-rackets/22451-pro-kennex-kinetic-black-ace-red-2026-racket.html,22451-pro-kennex-kinetic-black-ace-red-2026-racket,22451,Pro Kennex Kinetic Black Ace Red 2026 racket,Pro Kennex,314.9,66.9,100,61,56,68,65,44,74
extreme-tennis,https://www.extreme-tennis.eu/pro-kennex-padel-rackets/22452-pro-kennex-kinetic-black-ace-blue-2026-racket.html,22452-pro-kennex-kinetic-black-ace-blue-2026-racket,22452,Pro Kennex Kinetic Black Ace Blue 2026 racket,Pro Kennex,314.9,75.3,80,90,69,75,77,69,67
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22455-bullpadel-elite-woman-premier-padel-tf-26-racket.html,22455-bullpadel-elite-woman-premier-padel-tf-26-racket,22455,Bullpadel Elite Woman Premier Padel TF 26 racket,Bullpadel,279.8,75.6,56,72,90,67,81,88,75
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/23335-bullpadel-hack-04-premier-padel-26-padel-racket.html,23335-bullpadel-hack-04-premier-padel-26-padel-racket,23335,Bullpadel Hack 04 Premier Padel 26 Padel Racket,Bullpadel,339.8,70.0,77,80,62,68,66,73,64
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22500-adidas-cross-it-light-2026-ortega-racket.html,22500-adidas-cross-it-light-2026-ortega-racket,22500,Adidas Cross It Light 2026 Ortega Racket,Adidas,279.8,74.9,56,74,86,65,85,87,71
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22456-bullpadel-hack-04-premier-padel-tf-26-racket.html,22456-bullpadel-hack-04-premier-padel-tf-26-racket,22456,Bullpadel Hack 04 Premier Padel TF 26 racket,Bullpadel,304.75,70.0,77,80,62,68,66,73,64
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22458-bullpadel-vertex-05-premier-padel-tf-26-racket.html,22458-bullpadel-vertex-05-premier-padel-tf-26-racket,22458,Bullpadel Vertex 05 Premier Padel TF 26 racket,Bullpadel,329.8,72.6,83,76,62,88,65,62,72
extreme-tennis,https://www.extreme-tennis.eu/bullpadel-padel-rackets/22457-bullpadel-neuron-02-edge-premier-padel-tf-26-racket.html,22457-bullpadel-neuron-02-edge-premier-padel-tf-26-racket,22457,Bullpadel Neuron 02 Edge Premier Padel TF 26 racket,Bullpadel,329.8,70.1,78,79,61,68,67,69,69
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22501-adidas-cross-it-ctrl-2026-ortega-racket.html,22501-adidas-cross-it-ctrl-2026-ortega-racket,22501,Adidas Cross It Ctrl 2026 Ortega Racket,Adidas,299.8,75.1,66,87,78,65,76,83,71
extreme-tennis,https://www.extreme-tennis.eu/adidas-padel-racket/22502-adidas-rx-series-2026-racket.html,22502-adidas-rx-series-2026-racket,22502,Adidas RX Series 2026 Racket,Adidas,107.8,74.6,57,79,94,40,92,83,77
