unified_id,canonical_name,brand_name,source_portal,source_count,shape,balance,level,year,slug,verified_year,year_source_url,year_source_title,year_evidence,verification_status,notes
racket-00131,Akkeron Andromeda A22 RC,akkeron,padelful,1,Round,,,2022,akkeron-andromeda-a22-rc,2022,https://www.padelful.com/en/rackets/akkeron-andromeda-a22-rc,Padelful - Akkeron Andromeda A22 RC,page says 2022 model / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00132,Akkeron Armageddon Edition A22 RC,akkeron,padelful,1,Tear,,,2022,akkeron-armageddon-edition-a22-rc,2022,https://www.padelful.com/en/rackets/akkeron-armageddon-edition-a22-rc,Padelful - Akkeron Armageddon Edition A22 RC,page says crafted for 2022 season / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00133,Akkeron Athenea A22 RC,akkeron,padelful,1,Round,,,2022,akkeron-athenea-a22-rc,2022,https://www.padelful.com/en/rackets/akkeron-athenea-a22-rc,Padelful - Akkeron Athenea A22 RC,By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00140,Akkeron Oro A22 RC,akkeron,padelful,1,Round,,,2022,akkeron-oro-a22-rc,2022,https://www.padelful.com/en/rackets/compare/akkeron-oro-a22-rc/akkeron-athenea-a22-rc,Padelful comparison - Akkeron Oro A22 RC,comparison lists Akkeron / 2022 Oro A22 RC,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00141,Akkeron Oro España A22 RC,akkeron,padelful,1,Round,,,2022,akkeron-oro-espana-a22-rc,2022,https://www.padelchiquito.com/en/mostrar-pala/351/,PadelChiquito - Akkeron Athenea A22 RC related,compared paddles list Akkeron Oro España A22 RC as 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00145,Akkeron Vega A22 RC,akkeron,padelful,1,Diamond,,,2022,akkeron-vega-a22-rc,2022,https://www.padelful.com/en/rackets/akkeron-vega-a22-rc,Padelful - Akkeron Vega A22 RC,By Jorge Masta August 2022 / Spanish result says 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00384,Drop Shot Allegra 1.0,drop-shot,padelful,1,Tear,,,2022,drop-shot-allegra-1-0,2022,https://www.padelful.com/palas/drop-shot-allegra-1-0,Padelful - Drop Shot Allegra 1.0,page says 2022 Drop Shot Allegra 1.0 / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00385,Drop Shot Allegra 2.0,drop-shot,padelful,1,Tear,,,2023,drop-shot-allegra-2-0,2023,https://www.padelful.com/en/rackets/drop-shot-allegra-2-0,Padelful - Drop Shot Allegra 2.0,By Jorge Masta July 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00388,Drop Shot Axion Attack 1 LTD Jon Sanz,drop-shot,padelful,2,Tear,,,2025,drop-shot-axion-attack-1-ltd-jon-sanz,2025,https://www.padelful.com/en/rackets/drop-shot-axion-attack-1-ltd-jon-sanz,Padelful - Drop Shot Axion Attack 1 LTD Jon Sanz,By Jorge Masta February 2025 / similar rackets list 2025,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00412,Drop Shot Conqueror 10,drop-shot,padelful,2,Tear,,,2022,drop-shot-conqueror-10,2022,https://www.padelful.com/en/rackets/drop-shot-conqueror-10,Padelful - Drop Shot Conqueror 10,page says designed for 2022 season / By Jorge Masta July 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00431,Drop Shot Explorer Pro 5.0,drop-shot,padelful,1,Tear,,,2023,drop-shot-explorer-pro-5-0,2023,https://www.padelful.com/en/rackets/drop-shot-explorer-pro-5-0,Padelful - Drop Shot Explorer Pro 5.0,By Jorge Masta July 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00711,Kombat SAS Control II,kombat,padelful,2,Round,,,2023,kombat-sas-control-ii,2023,https://www.padelful.com/en/rackets/kombat-sas-control-ii,Padelful - Kombat SAS Control II,By Jorge Masta August 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00742,Kuikma PR990 Hybrid Hard,kuikma,padelful,2,Tear,,,2022,kuikma-pr990-hybrid-hard,2022,https://www.padelful.com/en/rackets/kuikma-pr990-hybrid-hard,Padelful - Kuikma PR990 Hybrid Hard,By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00746,Kuikma PR990 Power Hard,kuikma,padelful,1,Diamond,,,2022,kuikma-pr990-power-hard,2022,https://www.padelful.com/en/rackets/kuikma-pr990-power-hard,Padelful - Kuikma PR990 Power Hard,page says 2022 Kuikma PR990 Power Hard / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-00800,Nox AT10 Luxury Genius Hard,nox,padelful,1,Tear,,,2020,nox-at10-luxury-genius-hard,2020,https://www.padelful.com/en/rackets/nox-at10-luxury-genius-hard,Padelful - Nox AT10 Luxury Genius Hard,By Jorge Masta August 2020,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01001,Royal Padel RP790 Whip,royal-padel,padelful,1,Round,,,2023,royal-padel-rp790-whip,2023,https://www.padelful.com/en/rackets/royal-padel-rp790-whip,Padelful - Royal Padel RP790 Whip,By Jorge Masta June 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01056,Siux Electra ST2 Stupa Pro,siux,padelful,2,Tear,,,2023,siux-electra-st2-stupa-pro,2023,https://www.padelful.com/en/rackets/siux-electra-st2-stupa-pro,Padelful - Siux Electra ST2 Stupa Pro,By Jorge Masta August 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01070,Siux Fenix Pro 4,siux,padelful,1,Diamond,,,2024,siux-fenix-pro-4,2024,https://www.padelful.com/en/rackets/siux-fenix-pro-4,Padelful - Siux Fenix Pro 4,By Jorge Masta January 2024,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01135,Siux Trilogy 3 Attack,siux,padelful,1,Diamond,,,2023,siux-trilogy-3-attack,2023,https://www.padelful.com/en/rackets/siux-trilogy-3-attack,Padelful - Siux Trilogy 3 Attack,By Jorge Masta September 2023 / says part of Siux 2023 collection,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01137,Siux Trilogy 3 Hybrid,siux,padelful,1,Tear,,,2023,siux-trilogy-3-hybrid,2023,https://www.padelful.com/en/rackets/siux-trilogy-3-hybrid,Padelful - Siux Trilogy 3 Hybrid,By Jorge Masta September 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01365,Wilson Bela Elite,wilson,padelful,1,Diamond,,,2022,wilson-bela-elite,2022,https://www.padelful.com/en/rackets/wilson-bela-elite,Padelful - Wilson Bela Elite,page says 2022 Wilson Bela Elite / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01364,Wilson Bela Elite V2,wilson,padelful,1,Diamond,,,2023,wilson-bela-elite-v2,2023,https://www.padelful.com/en/rackets/wilson-bela-elite-v2,Padelful - Wilson Bela Elite V2,page says 2023 Wilson Bela Elite V2 / By Jorge Masta August 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01371,Wilson Bela LT,wilson,padelful,1,Diamond,,,2022,wilson-bela-lt,2022,https://www.padelful.com/en/rackets/wilson-bela-lt,Padelful - Wilson Bela LT,By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01368,Wilson Bela LT Rosa,wilson,padelful,1,Diamond,,,2022,wilson-bela-lt-rosa,2022,https://www.padelful.com/en/rackets/wilson-bela-lt-rosa,Padelful - Wilson Bela LT Rosa,page says 2022 Wilson Bela LT Rosa / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01370,Wilson Bela LT V2,wilson,padelful,1,Diamond,,,2023,wilson-bela-lt-v2,2023,https://www.padelful.com/rackets/wilson-bela-lt-v2,Padelful - Wilson Bela LT V2,By Jorge Masta August 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01376,Wilson Bela Team V2,wilson,padelful,1,Diamond,,,2023,wilson-bela-team-v2,2023,https://www.padelful.com/en/rackets/wilson-bela-team-v2,Padelful - Wilson Bela Team V2,By Jorge Masta August 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01379,Wilson Blade Elite V2,wilson,padelful,1,Tear,,,2022,wilson-blade-elite-v2,2022,https://www.padelful.com/en/rackets/wilson-blade-elite-v2,Padelful - Wilson Blade Elite V2,page says 2022 Wilson Blade Elite V2 / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01384,Wilson Blade LT V2,wilson,padelful,1,Tear,,,2022,wilson-blade-lt-v2,2022,https://www.padelful.com/en/rackets/wilson-blade-lt-v2,Padelful - Wilson Blade LT V2,By Jorge Masta August 2022; similar rackets list Wilson / 2022 Blade Elite V2,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01387,Wilson Blade Pro V3,wilson,padelful,4,Tear,Balanced,,2024,wilson-blade-pro-v3,2024,https://www.padelful.com/en/rackets/wilson-blade-pro-v3,Padelful - Wilson Blade Pro V3,page says 2024 padel racket / By Jorge Masta October 2024,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01411,Wilson Pro Staff Elite V2,wilson,padelful,1,Round,,,2022,wilson-pro-staff-elite-v2,2022,https://www.padelful.com/en/rackets/wilson-pro-staff-elite-v2,Padelful - Wilson Pro Staff Elite V2,page says 2022 Wilson Pro Staff Elite V2 / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01413,Wilson Pro Staff LT V2,wilson,padelful,1,Round,,,2022,wilson-pro-staff-lt-v2,2022,https://www.padelful.com/en/rackets/wilson-pro-staff-lt-v2,Padelful - Wilson Pro Staff LT V2,page says 2022's Wilson Pro Staff LT V2 / By Jorge Masta July 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01415,Wilson Pro Staff Team V2 Negra,wilson,padelful,1,Round,,,2022,wilson-pro-staff-team-v2-negra,2022,https://www.padelful.com/en/rackets/wilson-pro-staff-team-v2-negra,Padelful - Wilson Pro Staff Team V2 Negra,page says 2022 Wilson Pro Staff Team V2 Negra / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01417,Wilson Pro Staff Tour V2,wilson,padelful,1,Round,,,2022,wilson-pro-staff-tour-v2,2022,https://www.padelful.com/en/rackets/wilson-pro-staff-tour-v2,Padelful - Wilson Pro Staff Tour V2,page says 2022 Wilson Pro Staff Tour V2 / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01421,Wilson Ultra LT V2,wilson,padelful,1,Tear,,,2022,wilson-ultra-lt-v2,2022,https://www.padelful.com/en/rackets/wilson-ultra-lt-v2,Padelful - Wilson Ultra LT V2,page says 2022 Wilson Ultra LT V2 / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01422,Wilson Ultra Pro V2,wilson,padelful,1,Tear,,,2022,wilson-ultra-pro-v2,2022,https://www.padelful.com/en/rackets/wilson-ultra-pro-v2,Padelful - Wilson Ultra Pro V2,page says 2022 Wilson Ultra Pro V2 / By Jorge Masta August 2022,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-02072,Adidas France WC2026,adidas,padelreference,1,Round,Balanced,,2026,adidas-france-wc2026,2026,https://www.extreme-tennis.eu/adidas-padel-racket/22535-adidas-france-wc2026-racket.html,Extreme Tennis - Adidas France WC2026,product name explicitly contains WC2026 and source row is extreme-tennis,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-02065,Bullpadel Vertex 05 Geo PP26,bullpadel,padelreference,1,Diamond,Head Heavy,,2026,bullpadel-vertex-05-geo-pp26,2026,https://www.extreme-tennis.eu/bullpadel-padel-racket/22510-bullpadel-vertex-05-geo-pp26-racket.html,Extreme Tennis - Bullpadel Vertex 05 Geo PP26,product name/source URL explicitly contains PP26,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-01880,Puma Nova Pro Hybrid,puma,padelzoom,1,Lágrima,,,2024,puma-nova-pro-hybrid,2024,https://www.padelful.com/en/rackets/puma-nova-pro-hybrid-2024,Padelful - Puma Nova Pro Hybrid 2024,title and page say Puma Nova Pro Hybrid 2024 / By Jorge Masta February 2024,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-02113,Black Crown Piton 14,black-crown,UNKNOWN,1,,,,2026,black-crown-piton-14,2026,https://www.padelful.com/en/rackets/black-crown-piton-14-2026,Padelful - Black Crown Piton 14 2026,title and page say Black Crown Piton 14 2026 / By Jorge Masta February 2026,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-02124,Head Radical Pro,head,UNKNOWN,1,,,,2024,head-radical-pro,2024,https://www.padelful.com/palas/head-radical-pro-2024,Padelful - Head Radical Pro 2024,title and page say Head Radical Pro 2024 / By Jorge Masta December 2023,verified_online,Verified from online page/search snippet; not inferred from version number.
racket-02131,Siux Fenix Pro 5,siux,UNKNOWN,1,,,,2025,siux-fenix-pro-5,2025,https://www.padelful.com/en/rackets/siux-fenix-pro-5-2025,Padelful - Siux Fenix Pro 5 2025,title and URL explicitly say 2025 / By Jorge Masta May 2025,verified_online,Verified from online page/search snippet; not inferred from version number.
